source_name,source_url,fetched_at,rate_date,currency_pair,rate_type,rate_value,raw_payload,notes
Vietcombank,https://portal.vietcombank.com.vn/Usercontrols/TVPortal.TyGia/pXML.aspx?b=10,2026-05-29T19:58:30.195Z,2026-05-30,USD/VND,cash_buy,26085,"{""dateTime"":""5/30/2026 2:46:37 AM"",""usd"":{""CurrencyCode"":""USD"",""CurrencyName"":""US DOLLAR"",""Buy"":""26,085.00"",""Transfer"":""26,115.00"",""Sell"":""26,395.00""}}",Vietcombank published reference exchange rate; transfer_buy is used for domestic coffee conversion by default.
Vietcombank,https://portal.vietcombank.com.vn/Usercontrols/TVPortal.TyGia/pXML.aspx?b=10,2026-05-29T19:58:30.195Z,2026-05-30,USD/VND,transfer_buy,26115,"{""dateTime"":""5/30/2026 2:46:37 AM"",""usd"":{""CurrencyCode"":""USD"",""CurrencyName"":""US DOLLAR"",""Buy"":""26,085.00"",""Transfer"":""26,115.00"",""Sell"":""26,395.00""}}",Vietcombank published reference exchange rate; transfer_buy is used for domestic coffee conversion by default.
Vietcombank,https://portal.vietcombank.com.vn/Usercontrols/TVPortal.TyGia/pXML.aspx?b=10,2026-05-29T19:58:30.195Z,2026-05-30,USD/VND,sell,26395,"{""dateTime"":""5/30/2026 2:46:37 AM"",""usd"":{""CurrencyCode"":""USD"",""CurrencyName"":""US DOLLAR"",""Buy"":""26,085.00"",""Transfer"":""26,115.00"",""Sell"":""26,395.00""}}",Vietcombank published reference exchange rate; transfer_buy is used for domestic coffee conversion by default.
